title,company,date,link,description
Junior Data Analyst,OpenWeb,2024-07-30,https://il.linkedin.com/jobs/view/junior-data-analyst-at-openweb-3988136365?position=1&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=A2hRv1W0Wkeb%2F3gyvmRcyg%3D%3D&trk=public_jobs_jserp-result_search-card,"We create a safe space for communities to thrive.

OpenWeb's mission is to improve the quality of conversations online, building a healthier web where content creators of all kinds are empowered to thrive. As a product company, OpenWeb partners with publishers and brands to build strong, direct relationships with their audiences.

OpenWeb's technology empowers its partners to build vibrant communities rooted in healthy conversations and robust social experiences. OpenWeb works with over 1,000 top-tier publishers, hosting over 100 million active users monthly.

Founded in 2015, OpenWeb has nearly 300 employees in New York City, Tel Aviv, Kyiv, San Diego, Canada, London, and Paris and is backed by world-class investors, including Georgian, Insight Partners, Entrée Capital, The New York Times, Samsung Next, Dentsu, and ScaleUp. The company has raised $393 million in funding and is currently valued at $1.5 billion.

To learn more about OpenWeb's platform, visit OpenWeb.com or follow @OpenWebHQ on LinkedIn and Twitter.

What You'll Do:


Collect, process and analyze complex data sets to provide actionable insights
Develop and maintain dashboards and reports.
Collaborate with different stakeholders across the company to understand data needs.
Identify trends and patterns in data to inform product and business strategy.
Conduct ad hoc analysis and provide recommendations.
Design new processes with various stakeholders to enhance data-driven decisions across the company.
Data modeling and tables modeling to enhance data usage efficiency
You will report to the Data Analytics Team Lead.


What You'll Bring:


Bachelor's or Master's degree in a relevant field (e.g., Statistics, Mathematics, Computer Science) - A MUST
1-2 years of experience in data analysis or a related field.
Proficiency in SQL
Experience with data visualization tools (Tableau, Power BI, etc..).
Strong analytical skills with the ability to interpret complex data sets.
Experience with statistical analysis and A/B testing.
Familiarity with data pipelines and data processes.
Familiarity with programming languages like Python or R is a plus.


The OpenWeb Culture

We offer a dynamic and unconventional work environment that spans from NYC to London, France, Kyiv, and Tel Aviv, bringing together a diverse group of world-class and high-caliber techies, wordsmiths, entrepreneurs, and creative thinkers. We empower every individual across our global team to be a catalyst for change and strive to create a work environment where you can have the utmost autonomy over your role and projects from start to finish. If you want to join an innovative tech company where you can challenge yourself, have the freedom to own your work, and make a lasting impact, then you have a spot within our growing community!

OpenWeb is committed to building diverse teams and upholding an equal employment workplace that is free from discrimination. We hire amazing individuals regardless of their race, color, ancestry, religion, sex, gender identity, national origin, sexual orientation, age, citizenship, marital status, pregnancy, medical conditions, genetic information, disability, or Veteran status.

Build your skills with us as you build a better web for everyone. Join us!

Also, we care about your privacy! Please take a moment to review OpenWeb's Privacy Practices
Show more "
Data Analyst,Remitly Israel (formerly Rewire),2024-08-13,https://il.linkedin.com/jobs/view/data-analyst-at-remitly-israel-formerly-rewire-3982506529?position=3&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=XM7ECV20tR3Zn8G3HdmIbw%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Description

Remitly’s vision is to transform lives with trusted financial services that transcend borders. Since 2011, we have been tirelessly delivering on our promises to people who send money around the world. Today, we are reimagining global financial services and building products that extend beyond traditional barriers to give customers access to more of the services they need, no matter where they call home. Join over 2,700 employees worldwide who are growing their careers with purpose and connection with our customers while having a positive impact on millions of people around the globe.

The team in Israel pushes forward and aims for the stars. We hire top talents and invest in promoting their career by providing opportunities, challenges, and a great work environment that places an important emphasis on work-life balance.

About The Role

Remitly is significantly increasing our investment in building new initiatives for our customers when they have a need to transfer money. As a Data Analyst, you will drive analytical decisions for Remitly's new initiatives marketing, upper funnel, and life-cycle marketing including email communications, paid activities channels, and segmentations. This includes measurement and reporting, campaign design and optimization for the channels, contributing directly to growth in acquisition of customers in an efficient manner. You will also be a thought partner to your Marketing colleagues and collectively drive decisions that shape the roadmap of Remitly's new initiatives efforts.

You Will


Develop and refine a comprehensive measurement framework to assess the ROI from upper-funnel & lifecycle marketing investments, facilitating strategic decision-making.
Utilize diverse metrics and data sources to present a cohesive overall story for stakeholders across the company.
Collaborate closely with the Marketing team to design experiments and conduct ongoing campaign analyses that generate actionable insights.
Build measurement plans based on strategic imperatives, communication objectives and media strategies.
Design and implement reporting dashboards that track important metrics and performance trends, enabling the marketing team to make more informed decisions.


You Have


+2 years of experience in Data analytics, experimentation, A/B tests, and evaluation of marketing campaigns on multiple platforms.
Ability to represent complex information in easily understood visualizations (including Tableau, Excel (can perform complex functions)).
Advanced proficiency in SQL enabling comprehensive database querying, complex data manipulation, and insightful analysis
Highly experienced with data visualization tools (e.g. Tableau, Periscope). for building regular reports/dashboards to track multiple channel performance.
Ability to communicate the analytical story clearly to executives, channel owners, and partners, and influence strategic business decisions.
Strong quantitative, analytical, and problem-solving skills; must be very comfortable with data analysis and driving decision-making.
Biased for action: willing to build the first prototype, and continuously improve based on learnings.
Possess a natural curiosity to dive into the details and have a strong analytical mindset.


Nice To Have


Strong knowledge of l marketing channels and the role they play in the marketing funnel - Advantage
Knowledge in R or Python - Advantage


Equal employment opportunity has been, and will continue to be, a fundamental principle at Remitly. We are committed to nondiscrimination across our global organization and in all of our business operations. Employment is determined based upon personal capabilities and qualifications without discrimination on the basis of race, creed, color, religion, sex, gender identification and expression, marital status, military status or status as an honorably discharge/veteran, pregnancy (including a woman's potential to get pregnant, pregnancy-related conditions, and childbearing), sexual orientation, age (40 and over), national origin, ancestry, citizenship or immigration status, physical, mental, or sensory disability (including the use of a trained dog guide or service animal), HIV/AIDS or hepatitis C status, genetic information, status as an actual or perceived victim of domestic violence, sexual assault, or stalking, or any other protected class as established by law.

#Remitly-Israel

Remitly is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees.


Show more "
Product Data Analyst,Plus500™,2024-07-31,https://il.linkedin.com/jobs/view/product-data-analyst-at-plus500%E2%84%A2-3988561069?position=5&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=AHW4pltkXWLPCUFflD9obA%3D%3D&trk=public_jobs_jserp-result_search-card,"Product Data Analyst

R&D
Haifa




Plus500 is a world-leading online trading platform with hundreds of thousands of active users placing millions of trades a month. Our mission is to disrupt the age-old trade markets by building digital technologies that make trading around the world accessible and more efficient.




We are looking for a Product Data Analyst who can see beyond the numbers, leveraging data to inform, influence, support, and execute strategic product decisions. You will play a crucial role in guiding the direction of our products, ensuring that data-driven insights are at the forefront of our decision-making process. Your ability to translate complex data into actionable recommendations will be key in shaping our product strategies and driving business growth.




You will collaborate with an Agile-Scrum cross-functional team consisting of talented individuals from multiple disciplines, including Product, Backend, Mobile, Web, Quality Engineering, Design, and more. Together, you will work on delivering the company roadmap, initiatives, and projects, all aimed at creating great products that drive value for our traders.




As a Product Data Analyst, you will:

Play a crucial role in product decisions by identifying areas for improvement and recommending growth opportunities.
Be the domain expert and the analytical focal point.
Build and maintain reports, dashboards, and metrics to monitor performance.
Analyse business performance and decisions, identify patterns and trends, and define and develop KPIs and other measurement tools.
Establish strong communication channels and build excellent working relationships with diverse stakeholders like Product, Marketing, Data, and R&D teams.
Provide stakeholders with actionable recommendations, insights, and conclusions.
Collaborate closely with stakeholders to create and enhance personalized user journeys, improve user segmentation, and boost conversion rates.
Dig into users' flows to understand their behavior and journey, and find places we can improve the flow for better conversion.
Design and execute A/B experiments and KPIs, gaining a deep understanding of your domain through both quantitative and qualitative analyses.




Requirements

At least 2 years experience in a data-driven position.
Bachelor's degree in Information Systems, Industrial Engineering, or a related field.
Experience with SQL.
Experience with Python and relevant packages.
Experience with BI systems (Tableau - advantage).
Good background in statistics.
Self-motivated with the ability to multi-task and work independently.
Demonstrate a thorough attention to detail and the ability to perform in-depth analyses while considering the broader business context.
Recommended - Background in a B2C company.
Recommended - Understanding or interest in Financial Markets, Finance, or Online Trading.

Show more "
Junior Business Data Analyst,Moon Active,2024-08-16,https://il.linkedin.com/jobs/view/junior-business-data-analyst-at-moon-active-4001912009?position=6&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=3kRkslxCbSXxxVFlxA3vEg%3D%3D&trk=public_jobs_jserp-result_search-card,"Description

Moon Active is one of the world's fastest-growing mobile game companies, providing entertainment to millions of active users across the universe. The company is headquartered in the heart of Tel Aviv.

We're looking for a sharp and passionate Business Data Analyst to join our top-notch business analytics team. Using your technical and analytical skills, you'll be responsible for telling the story behind the numbers and to understand how people interact with our products.

Responsibilities


Be on the cutting edge of analysis, leveraging our data sources to propose new ideas that you’ll then see implemented.
Analyze large, complex data sets representing users’ behavior, see beyond numbers and help to inform, influence, support and execute our business decisions.
Work closely with Product, Monetization and management, be proactive and provide actionable recommendations and conclusions from game data to shape features, game economies and future product roadmaps and business strategies.
Plan and analyze effective A/B tests in order to improve business KPIs.
Balance and monitor flows from all the features in the game.
Measure and improve performance of promotions and live-ops for each segment.
Build reports and dashboards to monitor product performance, key business metrics and player’s experience.


Requirements


BSc/BA in highly quantitative field such as mathematics / Industrial Engineering / Economics / Statistics or equivalent academic knowledge.
Outstanding analytical & technical skills.
Strong SQL with experience in querying large, complex data sets.
Self-motivated and independent.
Ability to turn complex concepts into actionable recommendations.
1-2 years of analytical work experience, preferably for a web or mobile company, online gaming industry- Advantage.
Show more "
Data Analyst,Mobileye,2024-08-12,https://il.linkedin.com/jobs/view/data-analyst-at-mobileye-3979169478?position=8&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=wjye7vSOuU33DcmQ9A5kJQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Our team's responsibility is to lead Mobileye’s ground-truth data, provide high-quality labeled datasets for supervised and semi-supervised machine learning algorithms. The data we provide is required for training, testing, benchmarking, research, and exploration of the algorithms. The department in charge of large operation to deploy, annotate, label, manage and consume large volumes of data.

What will your job look like?


Working closely with operation teams, product managers, infrastructure, support teams.
Use statistic and analytic tools to achieve KPIs and business goals of operation projects.
Analysis and deep dive into large and complex data sets and summarizing results into reports.
Improving sensitivity, efficiency, effectiveness, and quality of validation processes
Define and implement ETLs that will help to identify potential issues or risks and implement appropriate solutions.
Develop tools in python for data analysis and improvement of operation workflow.


All you need is:


BSc. in Computer Science/statistics / information systems or related fields
2+ years of experience as a data analyst or a similar job
Proven experience in SQL queries.
Experience in data analytics libraries in Python (pandas).
Experience with big data frameworks & solutions (Spark/Presto/Athena/Trino or similar)
Fluent English


Show more "
Data Analyst,Similarweb,2024-08-04,https://il.linkedin.com/jobs/view/data-analyst-at-similarweb-3918749493?position=9&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=ZL9tA2%2BsPeYE70YfSnv1QQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Similarweb is the leading digital intelligence platform used by over 3500 global customers. Our wide range of solutions power the digital strategies of companies like Google, eBay, and Adidas.

We help our customers succeed in today’s digital world by giving them access to data-driven insights, competitive benchmarks, strategic analysis, and more. In 2021, we went public on the New York Stock Exchange, and we haven’t stopped growing since!

We are looking for a talented and dedicated Data Analyst who will be a part of the Core Data group.

As part of this role, you will help us process and streamline rich and complicated datasets. Will explore and validate new data sources. Be part of the data science and data engineering force creating new features for our solution.

What does the day-to-day of a Data Analyst at Similarweb look like:


Apply your expertise in quantitative analysis and data mining to turn data into insights.
Conduct research and develop tools that will ensure the quality of Similarweb’s data and algorithms.
Utilize your deep understanding of Similarweb’s data in order to evaluate and improve novel algorithms produced by the data scientists in your team.
Partner with Big Data Engineers to establish an infrastructure to scale solutions.


What will I bring to the team?


At least 2 years of work experience in a Tech Company - Must
At least 2 years experience in Python scripting - Must
Experience with SQL for data analysis -Must
Knowledge and understanding of the statistical principles, concepts, methods, and standards- Must
Hadoop/Spark/AWS Infrastructure experience - Big Advantage
Ability to visualize data and experience with a visualization tool and modules (mlplot, matplolib, sns)- Big Advantage
Excellent verbal and communication skills (in English) - Must
Team player, autodidact, fast learner with excellent analytical, research and business skills.


Why You’ll Love Being a Similarwebber

You’ll actually love the product you work with : Our customers aren’t our only raving fans. When we asked our employees why they chose to come work at Similarweb, 99% of them said “the product.” Imagine how exciting your job is when you get to work with the most powerful digital intelligence platform in the world.

You’ll actually love the product you work with: Our customers aren’t our only raving fans. When we asked our employees why they chose to come work at Similarweb, 99% of them said “the product.” Imagine how exciting your job is when you get to work with the most powerful digital intelligence platform in the world.

You’ll find a home for your big ideas : We encourage an open dialogue and empower employees to bring their ideas to the table. You’ll find the resources you need to take initiative and create meaningful change within the organization.

We offer competitive perks & benefits: We take your well-being seriously, and offer competitive compensation packages to all employees. We also put a strong emphasis on community, with regular team outings and happy hours.

You can grow your career in any direction you choose: Interested in becoming a VP or want to transition into a different department? Whether it’s Career Week, personalized coaching, or our ongoing learning solutions, you’ll find all the tools and opportunities you need to develop your career right here.

Diversity isn’t just a buzzword: People want to work in a place where they can be themselves. We s trive to create a workplace that is reflective of the communities we serve, where everyone is empowered to bring their full, authentic selves to work. We are committed to inclusivity across race, gender, ethnicity, culture, sexual orientation, age, religion, spirituality, identity and experience. We believe our culture of equality and mutual respect also helps us better understand and serve our customers in a world that is becoming more global, more diverse, and more digital every day.

We will handle your application and information related to your application in accordance with the Applicant Privacy Policy available here .
Show more "
Data Analyst (Blockchain ecosystem),Lightblocks Labs,2024-06-24,https://il.linkedin.com/jobs/view/data-analyst-blockchain-ecosystem-at-lightblocks-labs-3958009125?position=12&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=iyFl%2BEUIs3jRk7FoWhWenQ%3D%3D&trk=public_jobs_jserp-result_search-card,"About Us

eoracle (By Lightblocks Labs) is pioneering the integration of real-world data with blockchain technology. eoracle bridge the gap between technology and economics within the blockchain ecosystem, through the creation of the ethereum oracle enhancing decentralized applications' scalability, security, and functionality.

Role Overview

We are looking for a Data Analyst who is passionate about blockchain technology and eager to derive actionable insights from complex datasets. This role is perfect for someone with a keen analytical mind and a drive to optimize performance, improve product offerings, and ensure the robustness of our decentralized oracle network. As a Data Analyst at eoracle, you will play a crucial role in analyzing protocol performance, operator behavior, and on-chain activities to drive strategic decisions and product improvements.

Responsibilities


Analyze the protocol's performance to draw actionable conclusions, such as ranking operators, improving incentives, and understanding potential attack surfaces.
Monitor and analyze operator behavior to provide insights that help eoracle understand the dynamics and motivations of its operators.
Conduct thorough analyses of on-chain activities to inform product improvements, such as usage patterns of specific feeds and identifying areas for enhancement.
Develop and maintain dashboards and reports that track key metrics and KPIs for internal and external stakeholders.
Collaborate with cross-functional teams, including product management and development, to ensure data-driven decision-making processes.
Utilize statistical methods and data analysis tools to identify trends, patterns, and anomalies within large datasets.


Requirements


Familiarity with blockchain technology and understanding of decentralized applications (DApps).
2+ years of experience in data analysis, preferably within the blockchain or fintech industry.
Bachelor's degree in Data Science, Statistics, Computer Science, or a related field.
Proficiency in data analysis tools and programming languages such as SQL, Python, R, or similar.
Strong analytical skills with the ability to interpret complex data and provide actionable insights.
Excellent communication skills, capable of conveying intricate data findings to both technical and non-technical stakeholders.


Preferred Qualifications


Experience with blockchain data analysis tools and platforms.
Advanced degree (Master's or PhD) in a relevant field.
Prior experience in analyzing on-chain activities and protocol performance within a blockchain environment.
A genuine enthusiasm for blockchain technology and a strong desire to stay updated with the latest industry trends and developments.


What We Offer


An opportunity to be at the forefront of blockchain innovation, making significant contributions to the field.
A dynamic, fast-paced startup environment where you can expect to be challenged and grow professionally.
The chance to work on projects that blend technology with economics, ideal for those passionate about these interconnected fields.


Excited to dive deep into blockchain data and help shape the future of decentralized applications? Let's talk!
Show more "
דרוש/ה excel data analyst לחברת מאגרי מידע,Pharma14.com,2024-04-04,https://il.linkedin.com/jobs/view/%D7%93%D7%A8%D7%95%D7%A9-%D7%94-excel-data-analyst-%D7%9C%D7%97%D7%91%D7%A8%D7%AA-%D7%9E%D7%90%D7%92%D7%A8%D7%99-%D7%9E%D7%99%D7%93%D7%A2-at-pharma14-com-3882658809?position=18&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=LbeJbed%2BcHRrmJYT%2Fq%2BnuQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Description:




A big data pharmaceutical company is looking for a creative and an open-minded person for a data analyst position, with the ability to provide insights through data analyses for small to large datasets.

The Position requires: inspecting, cleansing, transforming and modeling, draw conclusions, and support decision-making. Involving various techniques and methodologies to interpret data from various sources in different formats, both structured and unstructured.




Requirements:




• Excel – A Very High level of proficiency (will be tested)

• Ability to engage in large data sets with accuracy and efficiency.

• English language at a Very High Level.

• Economics/Finance graduate or work experience in any of these feeds would be a big plus.

• Data Analyst experience is not a necessity.

• This position is suited for women and men alike.

• A preference will be given to applicants with references.




Other skills:




• Be comfortable with loads of manual work.

• Details orientated.

• Strong can-do attitude with the ability to work independently.

• Passion for solving challenging analytical problems.

• Ability to quickly, qualitatively and quantitatively assess a problem.

Show more "
ML & Big Data Analyst,Similarweb,2024-08-04,https://il.linkedin.com/jobs/view/ml-big-data-analyst-at-similarweb-3888285859?position=19&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=uaVbjm0I1exN%2BUVgGYWU4Q%3D%3D&trk=public_jobs_jserp-result_search-card,"Similarweb is the leading digital intelligence platform used by over 3500 global customers. Our wide range of solutions power the digital strategies of companies like Google, eBay, and Adidas.

We help our customers succeed in today’s digital world by giving them access to data-driven insights, competitive benchmarks, strategic analysis, and more. In 2021, we went public on the New York Stock Exchange, and we haven’t stopped growing since!

We are looking for a talented and dedicated ML & Big Data Analyst who will be a part of the Core Data group.

As part of this role, you will help us process and streamline rich and complicated datasets. Will explore and validate new data sources. Be part of the data science and data engineering force creating new features for our solution.

What does the day-to-day of a ML & Big Data Analyst at Similarweb look like:


Apply your expertise in quantitative analysis and data mining to turn data into insights.
Conduct research and develop tools that will ensure the quality of Similarweb’s data and algorithms.
Utilize your deep understanding of Similarweb’s data in order to evaluate and improve novel algorithms produced by the data scientists in your team.
Partner with Big Data Engineers to establish an infrastructure to scale solutions.


What will I bring to the team?


At least 2 years of work experience in a Tech Company - Must
At least 2 years experience in Python scripting - Must
Experience with SQL for data analysis -Must
Knowledge and understanding of the statistical principles, concepts, methods, and standards- Must
Hadoop/Spark/AWS Infrastructure experience - Big Advantage
Ability to visualize data and experience with a visualization tool and modules (mlplot, matplolib, sns)- Big Advantage
Excellent verbal and communication skills (in English) - Must
Team player, autodidact, fast learner with excellent analytical, research and business skills.


Why You’ll Love Being a Similarwebber

You’ll actually love the product you work with : Our customers aren’t our only raving fans. When we asked our employees why they chose to come work at Similarweb, 99% of them said “the product.” Imagine how exciting your job is when you get to work with the most powerful digital intelligence platform in the world.

You’ll actually love the product you work with: Our customers aren’t our only raving fans. When we asked our employees why they chose to come work at Similarweb, 99% of them said “the product.” Imagine how exciting your job is when you get to work with the most powerful digital intelligence platform in the world.

You’ll find a home for your big ideas : We encourage an open dialogue and empower employees to bring their ideas to the table. You’ll find the resources you need to take initiative and create meaningful change within the organization.

We offer competitive perks & benefits: We take your well-being seriously, and offer competitive compensation packages to all employees. We also put a strong emphasis on community, with regular team outings and happy hours.

You can grow your career in any direction you choose: Interested in becoming a VP or want to transition into a different department? Whether it’s Career Week, personalized coaching, or our ongoing learning solutions, you’ll find all the tools and opportunities you need to develop your career right here.

Diversity isn’t just a buzzword: People want to work in a place where they can be themselves. We s trive to create a workplace that is reflective of the communities we serve, where everyone is empowered to bring their full, authentic selves to work. We are committed to inclusivity across race, gender, ethnicity, culture, sexual orientation, age, religion, spirituality, identity and experience. We believe our culture of equality and mutual respect also helps us better understand and serve our customers in a world that is becoming more global, more diverse, and more digital every day.

We will handle your application and information related to your application in accordance with the Applicant Privacy Policy available here .
Show more "
Data Engineer,Elad Software Systems,2024-07-16,https://il.linkedin.com/jobs/view/data-engineer-at-elad-software-systems-3978035664?position=21&pageNum=0&refId=ROyr08MW4cgioNfUJTGMMA%3D%3D&trackingId=fvAuGyi0m7bpaR%2Bpj8p1Bg%3D%3D&trk=public_jobs_jserp-result_search-card,"תיאור ודרישות משרה

אלעד מערכות מגייסת DATA ENGINEER לארגון פיננסי מוביל

תיאור התפקיד:

תכנון ופיתוח פתרונות דאטה בענן AWS עבור אפליקציות הסוכנים והמעסיקים של חברת מגדל

אינטגרציה עם מקורות מידע שונים הן בסביבות On premise והן בענן.

אופטימיזציה של תהליכי ETL על מנת להוריד עומסים

הדרכה והקניית הידע למפתחים נוספים במחלקת הדאטה

עבודה עם ממשקים מרובים בארגון הן טכנולוגיים והן עסקיים

דרישות חובה מקצועיות (השכלה, ניסיון)

לפחות 3 שנות ניסיון בפיתוח תהליכי ETL

לפחות שנתיים ניסיון בטכנולוגיות דאטה של AWS כמו: Redshift, RDS, Athena, S3, Glue, Lambda, Lake formation

ניסיון במידול דאטה, ובניית Data Warehouse

מומחיות ב – SQL

יכולת עבודה עצמאית בסביבה מרובת משימות ופרויקטים

יחסי אנוש מעולים ומוטיבציה גבוהה

יכולת אנליטית ותחקור נתונים גבוהה. הבנת הקשר בין הצרכים העסקיים לעבודת הפיתוח.

יתרונות:

ניסיון במיגרציית דאטה לבסיסי נתונים לא רלציונים

(Object storage, db, key-value stores)

ניסיון בפיתוח תהליכי ETL באינפורמטיקה Power Center בסביבת DWH

נסיון בפיתוח באינפורמטיקה IICS

נסיון בעבודה בסביבות Sql Server


הפניה מיועדת לנשים וגברים כאחד
רק פניות מתאימות יענו
Show more "
