title,company,date,link,description
Analyst (Global Data and Analytics),Circle K,2024-08-15,https://www.linkedin.com/jobs/view/analyst-global-data-and-analytics-at-circle-k-3966711167?position=1&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=5bu3DvWM3BIHpb7XqVnzKg%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Summary

As a member of the Global Analytics & Insights Team, Analyst is an everyday partner of multiple departments, including Global Marketing, Category Management, Shared Services & Finance, Global Technology, and Business Unit Leadership.

The Analyst is responsible for completing analytical and operational inquiries by developing thoughtful, and thorough practical analyses and reports to inform decisions and support business needs. Results must be highly polished and suitable for internal and external presentation. The Analyst to the Manager of Analytics.

Responsibilities/Accountabilities


Analyze sales & marketing programs and transactional customer data to identify causal relationships between sales & marketing initiatives and both store and customer profitability; perform ROI analysis that assists in optimizing marketing spend.
Conduct operational analyses in the areas of marketing, merchandising, food & beverage, and other areas of the business as needed.
Analyze in-market strategic initiatives and business performance using test and control analytics, benchmarking, statistical concepts, and financial measures to guide decision making by brand and sales teams.
Work closely with senior marketing and merchandising executives, category managers and Business Unit Leadership to enhance business performance.
Constructively challenge the status quo to advance and evolve how Circle K thinks about, and executes Pricing and Promotions, given internal and external / environmental trends.
Generate ad-hoc reporting and analysis as required.
Other duties as assigned.


Knowledge, Skills And Other Qualifications Required


Intermediate skill level with enterprise reporting systems and relational database management systems preferred.
Knowledge of SQL programming fundamentals and statistical analysis tools preferred.
Proficient in all Microsoft Office applications.
Able to learn and utilize additional analytics tools (e.g., R, Python, Microsoft Power BI, etc.) as needed.
Experience with Business Intelligence software, general ledger and point of sale applications preferred.


Education/Training Required


Bachelor’s degree required, preferably with quantitative focus (Economics, Finance, Math, Stats, Analytics)


Circle K is an Equal Opportunity Employer.

The Company complies with the Americans with Disabilities Act (the ADA) and all state and local disability laws. Applicants with disabilities may be entitled to a reasonable accommodation under the terms of the ADA and certain state or local laws as long as it does not impose an undue hardship on the Company. Please inform the Company’s Human Resources Representative if you need assistance completing any forms or to otherwise participate in the application process.

Click below to review information about our company's use of the federal E-Verify program to check work eligibility:

In English

In Spanish


Show more "
SQL Data Analysts,Ledgent Technology,2024-07-22,https://www.linkedin.com/jobs/view/sql-data-analysts-at-ledgent-technology-3980064400?position=7&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=C5ptyvSgAaZsn42OWNrzzA%3D%3D&trk=public_jobs_jserp-result_search-card,"SQL Data Analyst
Employment Type: Contract-to-Hire (1-3 months CTH)
Workplace Type: Onsite
Location: Mission Hills, CA (91345)
Industry: Construction/Equipment Rentals
Compensation: $42-48 hourly

DUTIES & RESPONSIBILITIES:

* Analyze and manipulate SQL data sets; test and debug issues with SQL reports; create and maintain SQL queries.
* Assist in the development of monthly reports and visual dashboards of customer data, including billings, revenue, and transactions for C-Level executives and the finance team.
* Manage, update, and maintain SQL databases.
* Utilize statistical programming languages to create automation scripts for analyzing and reporting data
* Extract, manipulate, and report data from financial and operations software systems.

REQUIREMENTS SKILLS:

* Bachelor's or Associate's Degree in Data Analytics, Computer Science, Software Engineering, or related fields (Preferred)
* 3-5+ years of experience working in a Data Analyst role working in a fast-paced environment analyzing and reporting SQL data.
* Ability to read, interpret, and created moderate to complete SQL query scripts.
* Knowledge and expeirnece with SQL Server Reporting Services (SSRS)
* Experiences using PowerBI or similar data visualization tools.
* Familiarity Python scripting for data automation purposes
* Strong skills with Microsoft Excel and experience using Pivot Tables and Formulas
* Experience extracting, manipulation, and reporting data information from financial and operations systems.

BONUS SKILLS:

* Certifications with SQL, Oracle, and Data Analytics
* Experience and knowledge of Oracle databases and PL/SQL scripting.
* Knowledge of Asset & Inventory Management and Sales/Rental Contract Management Software; familiarity with Basis Software is a huge plus!
* Familiarity with Adobe products


All qualified applicants will receive consideration for employment without regard to race, color, national origin, age, ancestry, religion, sex, sexual orientation, gender identity, gender expression, marital status, disability, medical condition, genetic information, pregnancy, or military or veteran status. We consider all qualified applicants, including those with criminal histories, in a manner consistent with state and local laws, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance.

Show more "
Data Analyst,DC Department of Human Resources,2024-08-14,https://www.linkedin.com/jobs/view/data-analyst-at-dc-department-of-human-resources-4000946314?position=9&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=2BmFgrvT%2B8HkJkYxJdR9Fw%3D%3D&trk=public_jobs_jserp-result_search-card,"We are excited in your interest to join DC Health (The District of Columbia Department of Health), a nationally accredited Public Health Department (https://phaboard.org/). DC Health is focused on providing the essential public health services (10 Essential Public Health Services) necessary to protect and promote the health of all people in all communities and remove systemic and structural barriers that have resulted in health inequities through the Core Competencies for Public Health Professionals (PH Core Competencies.)

Skills

Come see where your knowledge, skills and abilities are appreciated, developed, and rewarded as you play a vital role in DC Health achieving its Strategic Priorities:


Promote a culture of health and wellness
Address the social determinants of health
Strengthen public-private partnerships
Close the chasm between clinical medicine and public health and
Implement data driven and outcome-oriented approaches to program and policy development.


Bring your professional career to Washington, D.C., the most dynamic and diverse city in the country. With its proximity to major museums, world class parks, entertainment, and restaurants, increasing job opportunities and the seat of the federal government, the District of Columbia continues to be ranked in the top 10 of thriving city indicators where you can live, work and play. We look forward to reviewing your candidacy, be well and good luck!

Job Summary

This position is located in the District of Columbia Department of Health (DC Health), HIV/AIDS, Hepatitis, STD, and TB administration (HAHSTA). The functions of this position include analytical and programmatic work to the improvement of public health services through evidence-based practices. The incumbent will be responsible for assisting on the management, assessment, development, and implementation of public health programs. The desired candidate will also support local programs and agencies to achieve healthy communities, work with them to achieve health equity and eliminate health disparities with special focus on supporting populations with high risk health factors.

Major Duties And Responsibilities

The incumbent serves as Data Analyst (Data Manager) under the general supervision of the Planning and Evaluation Manager. The successful candidate will serve as an expert on the database management and analytics of Ryan White Services Program; provide professional technical assistance to healthcare providers to ensure data guidelines compliance as a means of improving overall clinical measures and patients outcomes.

The candidate will also interpret and analyze data and make decisions utilizing techniques and resources from external and internal partnerships. As Data Manager for the program, they will lead the planning and delivery of annual reporting, including the Ryan White Services Report and other reports to federal and local agencies. Additionally, the candidate will govern the data reporting processes through our data system (CAREWare) developing and updating data quality dashboards.

Qualifications And Education

Individuals must possess at least one (1) year of specialized experience must have been equivalent to at least the next lower grade (11) level in the normal line of progression for the occupation in the organization. Specialized experience is defined as experience that is typically in or related to the work of the position to be filled, and has equipped you with the particular knowledge, skills, and abilities to successfully perform the duties of the position, and that is typically in or related to the work of the position to be filled.

Its strongly preferred candidates hold a degree in Public Health, Data Analytics, Health Informatics or data/systems-relate subject.

Licenses and Certifications

None required.

Working Conditions / Environment

The incumbent must be able to carry out official duties in a variety of settings and conditions. Routine work will occur primarily in an office setting.

Other Significant Facts

Agency Wide Consideration: Qualified individuals that submit applications for this vacancy may be considered for other current open vacancies for which they qualify within DC Health.

Tour of Duty: Monday - Friday 8:15am - 4:45pm

Area of Consideration: Open to the Public

Promotion Potential: No Known Promotion Potential

Duration of Appointment: Career Service – Term Appointment: 13 Month time limited

Pay Plan, Series and Grade: CS-0301-12

Collective Bargaining Unit (Union): This position is covered in a collective bargaining unit, represented by Local AFGE 2978 .

Position Designation

This position has been designated as Security Sensitive. Pursuant to section 410 of Chapter 4 of the D.C. Personnel Regulations; in addition to the general suitability screening, individuals applying for or occupying security sensitive positions are subject to the following checks and tests:


(a) Criminal background check;
(b) Traffic record check (as applicable);
(c) Consumer credit check (as applicable);
(d) Reasonable suspicion drug and alcohol test; and
(e) Post-accident or incident drug and alcohol test.


EEO Statement: The District of Columbia Government is an Equal Opportunity Employer. All qualified candidates will receive consideration without regard to race, color, religion, national origin, sex, age, marital status, personal appearance, sexual orientation, family responsibilities, matriculation, physical handicap, or political affiliation.
Show more "
Data Analyst (Business Intelligence),Corcentric,2024-07-21,https://www.linkedin.com/jobs/view/data-analyst-business-intelligence-at-corcentric-3988421422?position=12&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=knozlZx0v0RTnQ%2F8Ht8KvQ%3D%3D&trk=public_jobs_jserp-result_search-card,"As a Business Intelligence Analyst, you will join a driven, collaborative team within an ambitious, entrepreneurial global organization. You will work collaboratively within the Data & Analytics team supporting internal reporting for Global Client Services. This role requires a proactive individual who takes ownership of all assigned work and thrives in a collaborative team environment.

We pride ourselves on being a positive work environment, and place value on a work/life balance. This means thoughtful, sustainable workloads, as well as professional development opportunities to help you reach your career goals.

We are currently hiring out of the following office location(s):


Cherry Hill, NJ
Downers Grove, IL


This role may be eligible for voluntary work-from-home consideration. In order to be considered for this position, you should live within a commutable distance to one of these office locations, even if you plan to request a work-from-home arrangement, as there may be times when in-person meetings, training sessions, social events, or similar activities are held onsite.

This key position reports to the Director, Source-to-Pay Data & Analytics within our Advisory team. We're a dedicated, down-to-earth group in a growing organization offering plenty of opportunity. We look forward to adding you into the mix!

As a Business Intelligence Analyst, you will:


Handle diverse data inputs and transform them into valuable insights, demonstrating strong data organization and cleansing skills, ensuring that data is presented in a format that is clear and accessible to team members.
Utilize tools and techniques to clean and standardize data, ensuring accuracy and consistency.
Collaborate with cross-functional teams to understand business requirements and identify key outcomes for reporting.
Present findings and recommendations to stakeholders (technical and non-technical) in clear and concise formats
Demonstrate exceptional communication skills, documenting and articulating findings and action items



Requirements

You'll need to have:


Bachelor's or Master's in Mathematics, Statistics, Analytics, Business Information Systems, or a related field.
Proven experience with business intelligence software such as Power BI, Tableau, Qlik.
Excellent communication skills, written and verbal (English).
Knowledge in Programming Languages (SQL, Python) for querying and manipulating data stored in databases
Intermediate to advanced Microsoft Excel skills.
Strong analytical and problem-solving skills with a keen attention to detail and a commitment to delivering high quality reporting
A strong work ethic, self-motivation and progressive thinking, thriving on new challenges.
Ability to self-manage and prioritize workload across multiple projects.


(We want to make sure you're set up to succeed, and we view these as the critical skills you'll need to achieve great things at Corcentric!)

As we continue to grow our Advisory practice, we are looking for the right people to join us on our mission. If you are interested in being part of our team, we would like to communicate the following:


We are energized by challenges and the effort needed to solve them
We like working with people who are positive, adaptable and growth minded
We prioritize both the process and outcome of work, demonstrating a strong commitment to the success of our customers and colleagues. Exceptional quality work is an essential standard for us.
We operate within a voluntary work-from-home framework, yet we uphold the same level of accountability and responsibility as in a traditional office setting



About Us

Corcentric is a global provider of business spend management and revenue management software and services for mid-market and Fortune 1000 businesses. Corcentric delivers software, advisory services, and payments focused on reducing costs, optimizing working capital, and unlocking revenue.

We achieve success by exemplifying our core values in the way we work, communicate, and collaborate:


Do the Right Thing
Embrace + Drive Change
Be Empowered
Be Relentlessly Focused on the Customer



Benefits

At Corcentric, we know that the hard work of our employees is what drives the success of our organization. We care about who you are and what you value, both inside and outside of work.

Within our organization, you will have the opportunity to work with smart, collaborative team members and approachable leaders. Our down-to-earth, solutions-oriented culture means you'll have the opportunity to get hands-on with interesting work projects and be able to draw a short line from your contributions to business impacts. We prioritize professional development and encourage cross-functional promotional opportunities to enable you to reach your career goals. We have been in business for over 25 years and are thrilled to be actively growing and scaling our teams accordingly - it's an exciting environment and a great time to join.

We also recognize the importance of work-life balance and want to support your efforts to take care of your health and well-being and the health and well-being of those who depend upon you. In support of this, we are proud to offer a comprehensive benefits package to our full-time team members, including:


Generous annual paid time off program that increases with tenure
Nine paid holidays plus an annual personal holiday to recognize or celebrate an occasion that is important to you
An annual paid day off to volunteer for causes that are near and dear to you
Paid maternity, paternal/secondary caregiver, and adoptive parent leave
Company-paid life and disability insurance
401k program with a company match
Medical insurance plan options ranging from a traditional PPO to High Deductible Health Plan options that feature a company HSA contribution
Dental plan - including orthodontia coverage
Vision plan - including discount for LASIK surgery
All medical, dental, and vision insurance plans are available from the first of the month following your start date - no extended waiting period to be eligible!
A no-cost Employee Assistance Program - 24/7 access to confidential counseling services and a wide range of additional support and professional services


Our roles require routine use of standard office equipment, such as computers, keyboards, printers, phones, and filing cabinets. You may need to type, reach, and lift office materials of a reasonable weight. Travel may also be required based on job responsibilities and business needs.

Corcentric does not discriminate on the basis of race, sex, color, religion, age, national origin, marital status, disability, veteran status, genetic information, sexual orientation, gender identity or any other reason prohibited by law in provision of employment opportunities and benefits.
Show more "
Data Analyst,Inceed,2024-08-15,https://www.linkedin.com/jobs/view/data-analyst-at-inceed-3983180795?position=15&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=CEYkpt20u1YvDlQkkYZIkQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Compensation: $130k-160k/year

Location: Remote

Data Analyst:

Inceed has partnered with a great company to help find a skilled Data Analyst to join their team!

As a Data Analyst, you will be responsible for working closely with various business units, leveraging your analytical expertise to uncover insights, analyze problems, and develop data-driven solutions.

Responsibilities:


Data Analysis and Exploration:
Utilize strong SQL skills to extract, transform, and analyze data from diverse sources.
Perform exploratory data analysis to identify trends, patterns, and anomalies.
Interpret and communicate findings to both technical and non-technical stakeholders.
Statistical Analysis:
Apply fundamental statistical concepts to analyze and interpret data.
Design and conduct hypothesis testing and other statistical experiments.
Provide statistical insights to guide decision-making processes.
Collaboration with Business Units:
Work closely with business units to understand their data needs and challenges.
Collaborate with stakeholders to define analytical requirements and deliver actionable insights.
Translate business questions into analytical approaches and present findings effectively.
Problem Solving and Solution Development:
Analyze complex business problems and develop data-driven solutions.
Create and maintain dashboards, reports, and visualizations to facilitate decision-making.
Implement predictive models and machine learning algorithms as needed.

Required Qualifications & Experience:


achelor's degree in Statistics, Mathematics, Computer Science, or a related field.
Proven experience as a Data Analyst with a focus on SQL.
Strong understanding of statistical concepts and methodologies.
Excellent analytical and problem-solving skills.
Ability to communicate complex findings to both technical and non-technical audiences.


If you are interested in learning more about the Data Analyst opportunity, please submit your resume for consideration. Our client is unable to provide sponsorship at this time.

We are Inceed, a staffing and direct placement firm who believes in the possibility of something better. Our mission is simple: We’re here to help every person, whether client, candidate, or employee, find and secure what’s better for them.

Inceed is an equal opportunity employer. Inceed prohibits discrimination and harassment of any type and affords equal employment opportunities to employees and applicants without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.


Show more "
Data Analyst,"Mark Cuban Cost Plus Drug Company, PBC",2024-07-15,https://www.linkedin.com/jobs/view/data-analyst-at-mark-cuban-cost-plus-drug-company-pbc-3973355933?position=17&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=7wiM55MRc1OHnr1SJmXxMQ%3D%3D&trk=public_jobs_jserp-result_search-card,"As a Data Analyst, you will be a key contributor to our mission of making affordable medications accessible to everyone. You will use your analytical skills and expertise to uncover valuable insights from complex datasets. These insights will directly guide our strategies, help us measure the impact of our initiatives, and ultimately improve patient affordability. This role is ideal for someone with a strong analytical mindset, technical skills, and the ability to translate complex data into clear recommendations.




DUTIES & RESPONSIBILITIES:

Data Cleaning and Preparation:

Collect, clean, and organize data from diverse sources.
Ensure data accuracy and completeness through validation.
Learn and apply data cleaning techniques to prepare data for analysis.




Data Analysis and Insights:

Assist in conducting analyses to identify trends, patterns, and key insights.
Support the creation of reports, dashboards, and visualizations that effectively communicate findings.
Translate complex data findings into actionable recommendations for stakeholders.




Data Quality:

Help identify and resolve data quality issues and discrepancies.
Learn about data quality standards and best practices in the healthcare industry.




Cross-Functional Collaboration:

Partner with various business units to support their data needs, including ad-hoc analysis and report generation.
Adapt your approach to meet the specific requirements of different teams.




Continuous Learning and Growth:

Actively participate in User Acceptance Testing (UAT) and System Testing to ensure data accuracy and system functionality.
Embrace opportunities to learn new skills and tools as our data landscape evolves.




EDUCATION AND/OR TRAINING:

Bachelor's degree in Statistics, Mathematics, Economics, Computer Science, or a related field.




WORK EXPERIENCE:

2+ years of experience in data analysis (healthcare or pharmaceutical experience is a plus).
Equivalent combination of education and industry experience will be considered.
“Power user” of Microsoft Excel or Google Sheets
Demonstrated ability to conduct ad hoc analyses under tight deadlines
Familiarity with SQL and data manipulation tools (Python or R is preferred)




ADDITIONAL QUALIFICATIONS:

Ability to work independently with little to no supervision.
Strong analytical and problem-solving skills
Passion for using data to answer questions and drive decisions
Meticulous attention to detail and commitment to data accuracy
Excellent communication and presentation skills
Enthusiasm for our mission of affordable medication access




Show more "
Data Analyst,Thrive Causemetics Inc.,2024-08-07,https://www.linkedin.com/jobs/view/data-analyst-at-thrive-causemetics-inc-3921362483?position=21&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=S1hoUUJcFGexE%2F7KjgX1yw%3D%3D&trk=public_jobs_jserp-result_search-card,"Location: In Office 4 days/week in LA office

Who We Are:

Thrive Causemetics is Bigger Than Beauty™: We are an independent, female-owned beauty brand that creates high-performance vegan cosmetics and supports a community of giving. All of Thrive Causemetics' products are free of parabens and sulfates, in addition to being 100 percent cruelty-free. Through its Bigger Than Beauty™ program, every product you purchase results in a donation to help a woman thrive. Thrive Causemetics is dedicated to fostering a collaborative and cross-functional workplace where everyone’s voice matters. We are committed to being pioneers in creating a culture of wellness. Together, we prioritize a strong work ethic while maintaining a positive, exciting environment where people are passionate about what they do .

Who We Are Looking For:

The Data Analyst role at Thrive Causemetics is a hybrid role combining the skill sets of a data analyst, business intelligence analyst. You will work cross functionally with multiple departments, with a focus on growth marketing efforts (CRM, Search, Digital Marketing). This includes helping out with dashboard creation, data pipelines, inventory forecasting and other ad hoc data requests as needed.

What You Will Be Doing:


Apply creative problem-solving skills across various business domains, including marketing & demand planning, to address unique challenges
Leverage customer data analysis to refine and enhance marketing strategies for both e-commerce and brand marketing
Develop dashboards that blend data visualizations and tabular information, delivering real-time insights accessible to all departments
Daily / weekly / monthly KPI reporting for Marketing, Operations and Ecom
QA: Conduct quality assurance to ensure the accuracy of final reports and dashboards
Generate insights from marketing ad performance to improve our paid ad efficiency
Evaluate and improve current business processes related to data management by identifying opportunities for automation and streamlining
Translate data into easy-to-digest insights for non-analytical stakeholders
Fulfill ad hoc data requests and perform data queries as required


What Will Make You Stand Out:


Bachelor’s degree (or higher) in Mathematics, Statistics, Economics, Computer Science or related field
1+ year of SQL experience
1+ year of experience with Python for data analytics (pandas, sklearn, matplotlib, seaborn, plot.ly )
1+ year of experience with data visualization platforms (Tableau, Looker)


Thrive Causemetics is an Equal Opportunity Employer. Applicants must be authorized to work for any employer in the U.S. without current or future sponsorship for an immigration-related work benefit. Thrive Causemetics does not hire H-1B, F-1 CPT, OPT, or STEM OPT candidates for this role.

The base pay range for this role is $70,000 -$90,000, with the following factors determining the base pay at offer: skills, qualifications, experience. This range provides the opportunity to progress as you grow and develop within a role. Additionally, this role is also eligible for an annual discretionary bonus based on company and individual performance. Thrive Causemetics provides a competitive benefits package, including but not limited to: comprehensive medical, dental and vision plans, a 401(k) plan with employer matching, various paid time off programs, employee discount/perks, life insurance, disability insurance, and employee assistance programs.
Show more "
Data Analyst,Quest Financial,2024-08-16,https://www.linkedin.com/jobs/view/data-analyst-at-quest-financial-4000230299?position=22&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=I5poWt4cA4Gb1MJJJbVudQ%3D%3D&trk=public_jobs_jserp-result_search-card,"We are seeking recent graduates with an interest in building a career in Data Analytics for a Data Analytics Coordinator opening in the Perimeter area.




Highlights:

Position will work on the Data Analytics team of a global logistics company
This is a hybrid remote position with 2 WFH days/week of the candidates choosingBase salary from 50-55k + bonus ranging from 6%-24% of salary. Pay reviews every 6 months.
Excellent benefits package- company pays 85% of employees’ healthcare costs, 6% 401k match, and other great benefits




Description:

As the Data Analytics Coordinator, you will Partner with key stakeholders to establish and implement data-driven metrics designed to improve internal business processes, support strategic planning, and ultimately improve profitability. In addition, the role will laisse with central departments to progress the organizations goals for digitalization and automation.




Responsibilities:

Leverages the use of data analytics tools (e.g. QlikSense, Databricks, Snowflake, Python, Alteryx, etc.) to implement solutions, and to increase team’s efficiency and reliability.
Manage and oversees cross-functional data analytics projects across departments, guiding them from inception through production while ensuring adherence to quality standards and deadlines.
Collaborate in defining metrics to expand depth of analysis, to improve internal processes and uncover quantifiable business opportunities.
Design, develop and maintain scalable data products for data warehousing (Data Lake concept).
Cultivate trust and cooperation with stakeholders, fostering a collaborative environment that promotes knowledge sharing.
Clearly convey findings and insights to upper management and internal stakeholders to support strategic decision-making.
Provide guidance and training to peers or stakeholders on data analytics tools and best practices.
Continuously update knowledge on the latest data analytics technologies and trends to ensure the application of cutting-edge tools and methodologies.




Requirements:

Bachelor’s degree in Information Systems, Data Analytics, Business Intelligence, or related field.
Interest in data visualization tools (e.g., QlikView, QlikSense, Tableau, Power BI) to create impactful, easy-to-understand visual reports.
Interest in ETL processes using tools like Databricks, Snowflake, Alteryx, or similar platforms.
Preferred experience with programming languages such as SQL, Python, among others.













Alternate job titles: Data Specialist, Data Coordinator, Entry-Level Data Analyst, Financial Analyst, Operations Analyst, Systems Analyst

Show more "
Data Analyst,"Softworld, a Kelly Company",2024-07-26,https://www.linkedin.com/jobs/view/data-analyst-at-softworld-a-kelly-company-3984593098?position=24&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=bb9AkjHpDHenFT37ZtBQWg%3D%3D&trk=public_jobs_jserp-result_search-card,"Job Title: Data Analyst

Job Location: Savannah GA 31406

Onsite Requirements:

Running SQL queries to pull data from Snowflake
Build reporting from data using Qlik
Strong understanding of business metrics/KPIs

Job Description:

Essential Functions / Duties Performed Regularly:

Analyze and interpret data from various marketing campaigns to uncover trends, patterns, and insights related to performance and identify areas for improvement.
Monitor and evaluate call center metrics, such as call volumes, service levels, customer satisfaction, and resolution times.
Develop and maintain dashboards and reports that track key performance indicators (KPIs) and marketing effectiveness.
Collaborate with marketing teams to design and implement A/B testing frameworks and measure the impact of various campaigns.
Provide data-driven recommendations to optimize marketing spend and improve return on investment (ROI).
Work with customer service managers to improve call center operations and customer engagement strategies.
Utilize advanced analytics techniques to forecast trends and model potential outcomes of marketing and customer service initiatives.
Stay abreast of industry trends and advancements in analytics and performance marketing tools.

Minimum Qualifications:

Education: Bachelor's degree in Statistics, Mathematics, Economics, Computer Science, or related field or equivalent combination of education and experience.
Work Experience: Minimum of 5 years of experience in a data analysis role, preferably within a marketing or advertising context.

Knowledge, Skills and Abilities:

Analytical Skills: Ability to interpret complex data sets and provide actionable insights.
Statistical Knowledge: Proficiency in statistical tests, distributions, and regression analysis.
Data Visualization: Skill in creating clear visual representations of data using tools like Tableau or Power BI.
SQL: Strong command of SQL for querying databases.
Programming Languages: Proficiency in programming languages - SQL, Python, R, or other data analysis tools.
Machine Learning: Understanding of basic machine learning algorithms and their application in marketing data.
A/B Testing: Experience in designing and interpreting A/B tests to optimize campaign performance.
Data Mining: Ability to extract data from various sources and prepare it for analysis
Strong communication skills: Ability to translate complex data into actionable insights for non-technical stakeholders.

Physical Requirements:

Standing, walking, sitting, movement and use of mechanical controls, such as keyboard, are frequently required.

** 3rd party and subcontract staffing agencies are not eligible for partnership on this position. 3rd party subcontractors need not apply.

This position requires candidates to be eligible to work in the United States, directly for an employer, without sponsorship now or anytime in the future **

Show more "
Data Analyst (Business Intelligence),Inceed,2024-08-15,https://www.linkedin.com/jobs/view/data-analyst-business-intelligence-at-inceed-4000766628?position=28&pageNum=0&refId=WBUu%2B%2FY%2BtwXXDjxB7N8HaQ%3D%3D&trackingId=mdgQj6D5CC3rtsUdnQWNMw%3D%3D&trk=public_jobs_jserp-result_search-card,"Compensation: $90K $110K + annual bonus (15%)

Location: Midland, TX

Data Analyst (Business Intelligence)

Inceed has partnered with a rapidly growing energy company to help find a skilled Data Analyst to join their team!

In this role, you will help optimize, update and maintain Spotfire reports and dashboards. You will join an inclusive and collaborative team to analyze datasets to help with KPIs and benchmarking.

Responsibilities:


Collaborate with business units to develop reports and dashboards
Create and Manage Business Intelligence reports
Train the users of the reports on the use and functionality of the tool
Work on multiple projects in a fast paced environment


Required Qualifications & Experience:


Expert in Spotfire
Dashboards and reporting
Have a few data science projects (with Python and R scripts)
Industry (Oil & Gas) knowledge
Understand KPIs


Nice to Have Skills & Experience:


PowerBI
Python or SQL


Perks & Benefits:


Annual bonus (up to 15%)
Generous relocation package
Join a rapidly growing company
Join an inclusive and collaborative team


If you are interested in learning more about the Data Analyst opportunity, please submit your resume for consideration. Our client is unable to provide sponsorship at this time.

We are Inceed, a staffing and direct placement firm who believes in the possibility of something better. Our mission is simple: We’re here to help every person, whether client, candidate, or employee, find and secure what’s better for them.

Inceed is an equal opportunity employer. Inceed prohibits discrimination and harassment of any type and affords equal employment opportunities to employees and applicants without regard to race, color, religion, sex, sexual orientation, gender identity or expression, pregnancy, age, national origin, disability status, genetic information, protected veteran status, or any other characteristic protected by law.


Show more "
